seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
100;50;0.499983;1;1.67818e-05;20;9;1.78885;1.16619;8.95504;0.285402
101;50;0.499983;1;1.67183e-05;20;11;0.632456;0.748331;5.38079;0.285468
102;50;0.499977;1;2.28105e-05;20;8;1.26491;1.2;9.46491;0.297672
103;50;0.500544;1;0.000543636;20;12;0.632456;1.49666;5.12912;0.28498
104;50;0.499776;1;0.000223954;20;13;0.632456;1.35647;3.98892;0.27836
105;50;0.500024;1;2.40446e-05;20;10;0.632456;1.09545;6.7279;0.300088
106;50;0.499944;1;5.58923e-05;20;10;0.894427;0;5.89443;0.288576
107;50;0.500019;1;1.89929e-05;20;10;1.41421;0.894427;7.30864;0.305406
108;50;0.502028;1;0.00202806;20;9;0;1.32665;7.32665;0.28827
109;50;0.499984;1;1.55664e-05;20;8;1.09545;0.8;8.89545;0.300686
110;50;0.499436;1;0.000563533;20;9;0;0.4;6.4;0.280714
111;50;0.499949;1;5.0847e-05;20;14;1.41421;1.72047;4.13468;0.286027
112;50;0.49981;1;0.000190023;20;9;1.78885;0.4;8.18885;0.281024
113;50;0.500006;1;6.24036e-06;20;10;1.09545;1.67332;7.76877;0.285011
114;50;0.500025;1;2.52906e-05;20;11;1.67332;1.46969;7.14301;0.285337
115;50;0.500346;1;0.000346024;20;8;0.632456;1.2;8.83246;0.281364
116;50;0.500114;1;0.00011445;20;10;1.67332;1.09545;7.76877;0.289446
117;50;0.500096;1;9.57147e-05;20;12;1.09545;1.35647;5.45191;0.280646
118;50;0.499996;1;4.32393e-06;20;10;0.632456;2.28035;7.91281;0.297401
119;50;0.499968;1;3.20936e-05;20;8;0.632456;1.0198;8.65226;0.296698
120;50;0.49982;1;0.000180267;20;8;1.26491;0.489898;8.75481;0.285355
121;50;0.500059;1;5.89156e-05;20;11;0;1.6;5.6;0.295483
122;50;0.49938;1;0.000620392;20;9;2.09762;0.4;8.49762;0.284332
123;50;0.499971;1;2.90506e-05;20;8;0.894427;1.2;9.09443;0.297716
124;50;0.500304;1;0.000303562;20;7;0.894427;1.35647;10.2509;0.303378
125;50;0.499975;1;2.50499e-05;20;5;1.09545;0.632456;11.7279;0.300329
126;50;0.500041;1;4.08611e-05;20;11;2.75681;1.6;8.35681;0.294455
127;51;0.500247;1;0.0202468;20;14;2.19089;1.72047;4.91136;0.274709
128;50;0.500937;1;0.000936643;20;11;1.89737;1.6;7.49737;0.288718
129;50;0.500351;1;0.000351481;20;8;0.894427;1.0198;8.91423;0.297107
130;50;0.499987;1;1.30621e-05;20;8;0.632456;1.0198;8.65226;0.286893
131;50;0.499847;1;0.000152732;20;11;0.894427;0.748331;5.64276;0.290967
132;50;0.500114;1;0.000113531;20;11;2;1.16619;7.16619;0.28642
133;50;0.499758;1;0.000242125;20;13;0.894427;2.41661;5.31104;0.286284
134;50;0.500007;1;6.52181e-06;20;12;1.26491;1.49666;5.76157;0.290539
135;50;0.500074;1;7.35602e-05;20;8;1.41421;1.35647;9.77068;0.282891
136;50;0.49996;1;3.99467e-05;20;10;0.632456;1.26491;6.89737;0.296101
137;50;0.500051;1;5.14712e-05;20;8;0.894427;0.489898;8.38433;0.278628
138;50;0.499988;1;1.19298e-05;20;13;0.632456;0.8;3.43246;0.283415
139;50;0.499904;1;9.61868e-05;20;11;1.67332;1.32665;6.99997;0.279303
140;50;0.499882;1;0.000117962;20;10;1.26491;2.09762;8.36253;0.287757
141;50;0.499949;1;5.06982e-05;20;10;1.26491;1.26491;7.52982;0.310969
142;50;0.499961;1;3.90316e-05;20;6;0.632456;0.979796;10.6123;0.287296
143;50;0.500451;1;0.000450581;20;10;1.09545;0.894427;6.98987;0.293835
144;50;0.499353;1;0.000646946;20;13;0;2.05913;4.05913;0.271679
145;50;0.500017;1;1.7225e-05;20;10;0.632456;0.632456;6.26491;0.287737
146;50;0.499924;1;7.60322e-05;20;6;0;0.748331;9.74833;0.287779
147;50;0.500013;1;1.33843e-05;20;8;1.09545;1.35647;9.45191;0.285091
148;50;0.500606;1;0.000606337;20;10;1.26491;0;6.26491;0.283676
149;50;0.500051;1;5.10218e-05;20;7;0.632456;0.489898;9.12235;0.282594
150;50;0.49991;1;8.95063e-05;20;7;1.41421;1.0198;10.434;0.294088
151;50;0.499876;1;0.000124448;20;9;1.09545;2.13542;9.23086;0.292855
152;50;0.499991;1;8.72964e-06;20;10;0.894427;0.894427;6.78885;0.289223
153;50;0.500051;1;5.09164e-05;20;9;2;0.979796;8.9798;0.285849
154;50;0.499913;1;8.65202e-05;20;7;1.09545;0.8;9.89545;0.283626
155;50;0.499912;1;8.78666e-05;20;13;0.632456;2.41661;5.04906;0.287879
156;53;0.502986;1;0.0629865;20;14;1.41421;2.03961;4.45382;0.287299
157;50;0.499944;1;5.55757e-05;20;12;2.28035;1.2;6.48035;0.285163
158;50;0.500007;1;7.46047e-06;20;11;0.894427;0.979796;5.87422;0.307461
159;50;0.500065;1;6.49488e-05;20;9;0.632456;0.4;7.03246;0.288581
160;50;0.499527;1;0.000472539;20;12;0.632456;1.49666;5.12912;0.281636
161;56;0.505421;1;0.125421;20;15;1.67332;1.26491;2.93823;0.279122
162;50;0.500097;1;9.74155e-05;20;10;1.41421;1.09545;7.50966;0.286397
163;50;0.500047;1;4.70812e-05;20;12;1.09545;1.0198;5.11525;0.296355
164;50;0.499986;1;1.40524e-05;20;10;0.632456;1.26491;6.89737;0.28697
165;50;0.499997;1;3.217e-06;20;10;1.09545;1.67332;7.76877;0.293351
166;50;0.50046;1;0.00046041;20;6;0;1.16619;10.1662;0.284998
167;50;0.500208;1;0.000208111;20;11;0;1.16619;5.16619;0.287326
168;52;0.500035;1;0.0400349;20;13;0.632456;1.62481;4.25726;0.286558
169;50;0.499952;1;4.79984e-05;20;11;0.894427;0.979796;5.87422;0.277094
170;50;0.50001;1;1.03361e-05;20;9;0.632456;1.46969;8.10215;0.290288
171;50;0.500182;1;0.000182385;20;10;1.09545;0.894427;6.98987;0.283838
172;50;0.500019;1;1.91842e-05;20;9;0;1.32665;7.32665;0.291795
173;50;0.49997;1;2.98974e-05;20;11;0.632456;0.748331;5.38079;0.292358
174;50;0.500113;1;0.000113129;20;12;0.632456;1.85472;5.48718;0.279735
175;50;0.500574;1;0.000574332;20;12;1.78885;0.8;5.58885;0.301795
176;50;0.499905;1;9.46821e-05;20;8;1.67332;0.8;9.47332;0.294447
177;50;0.499964;1;3.56637e-05;20;13;0.894427;0.8;3.69443;0.277894
178;50;0.500131;1;0.000131256;20;10;0;1.41421;6.41421;0.288586
179;50;0.499909;1;9.0975e-05;20;11;1.67332;1.46969;7.14301;0.283784
180;50;0.501109;1;0.00110905;20;12;1.09545;2.24499;6.34044;0.281491
181;50;0.499951;1;4.91214e-05;20;12;0.632456;1.0198;4.65226;0.285961
182;50;0.499989;1;1.1346e-05;20;11;0.632456;1.46969;6.10215;0.285122
183;50;0.499977;1;2.32404e-05;20;9;0.632456;1.32665;7.95911;0.295891
184;50;0.499895;1;0.00010488;20;11;0.632456;1.16619;5.79865;0.294722
185;50;0.50003;1;3.02795e-05;20;8;0.894427;0.489898;8.38433;0.287721
186;50;0.499946;1;5.40741e-05;20;10;0.632456;1.67332;7.30578;0.283438
187;50;0.500019;1;1.8988e-05;20;9;0.894427;1.16619;8.06062;0.29201
188;50;0.500119;1;0.00011875;20;9;0.632456;1.32665;7.95911;0.281702
189;53;0.499981;1;0.0600193;20;15;1.09545;1.78885;2.8843;0.278638
190;50;0.500088;1;8.84387e-05;20;7;1.54919;0.8;10.3492;0.296288
191;50;0.497221;1;0.00277921;20;12;1.78885;1.0198;5.80866;0.279979
192;50;0.498953;1;0.00104736;20;10;1.78885;0.894427;7.68328;0.305139
193;50;0.5;1;0;20;7;0;0.489898;8.4899;0.300902
194;50;0.50001;1;9.68315e-06;20;13;0;1.74356;3.74356;0.31169
195;50;0.499987;1;1.33611e-05;20;6;0;0.979796;9.9798;0.280586
196;50;0.500223;1;0.000223277;20;13;0;1.49666;3.49666;0.280722
197;50;0.499854;1;0.000145919;20;11;1.09545;1.72047;6.81591;0.294499
198;50;0.499832;1;0.000168298;20;12;2.09762;2.05913;7.15674;0.286564
199;50;0.5;1;0;20;8;0;1.0198;8.0198;0.310828
200;50;0.499873;1;0.000126584;20;8;1.26491;0.8;9.06491;0.30666
201;50;0.500052;1;5.23862e-05;20;11;0.632456;1.46969;6.10215;0.298198
202;50;0.49995;1;5.01323e-05;20;15;1.41421;1.26491;2.67912;0.280607
203;50;0.499998;1;2.3255e-06;20;7;0.632456;1.0198;9.65226;0.296427
204;50;0.499968;1;3.20965e-05;20;9;1.09545;1.46969;8.56514;0.287611
205;50;0.49966;1;0.000340456;20;10;1.54919;0.632456;7.18165;0.288369
206;50;0.500198;1;0.000198447;20;10;1.26491;0.632456;6.89737;0.309474
207;50;0.499965;1;3.5055e-05;20;10;1.26491;1.41421;7.67912;0.29272
208;50;0.500056;1;5.64603e-05;20;11;1.67332;1.6;7.27332;0.297831
209;50;0.499694;1;0.000306025;20;10;1.67332;1.09545;7.76877;0.294503
210;50;0.50008;1;8.0412e-05;20;12;0;1.0198;4.0198;0.28729
211;50;0.498763;1;0.00123676;20;8;1.67332;1.2;9.87332;0.289625
212;50;0.50004;1;4.0434e-05;20;8;0.632456;1.35647;8.98892;0.288494
213;50;0.500001;1;7.28343e-07;20;5;0.632456;0.632456;11.2649;0.29678
214;50;0.499845;1;0.00015509;20;8;0.632456;1.2;8.83246;0.282331
215;50;0.499982;1;1.80775e-05;20;10;1.78885;1.41421;8.20307;0.281981
216;50;0.499978;1;2.15315e-05;20;9;1.41421;0.748331;8.16255;0.292094
217;50;0.499836;1;0.000164368;20;10;1.26491;1.26491;7.52982;0.2935
218;50;0.499525;1;0.000475186;20;11;1.89737;1.16619;7.06356;0.279988
219;50;0.500004;1;4.29564e-06;20;4;0.632456;0.4;12.0325;0.291966
220;50;0.499866;1;0.000133828;20;10;1.09545;2.09762;8.19306;0.291981
