seed;plat;lin;solv;fitness1;ene;obs;ene_destvest;obs_destvest;fitness2;time
100;75;0.947231;1;0.0527689;20;15;0;0.894427;0.894427;0.315089
101;75;0.904403;1;0.0955966;20;15;0;0.894427;0.894427;0.286868
102;75;0.921233;1;0.0787668;20;15;0;1.09545;1.09545;0.291401
103;75;0.889565;1;0.110435;20;15;0;2.44949;2.44949;0.294678
104;75;0.911492;1;0.0885077;20;15;0;2;2;0.306607
105;75;0.901418;1;0.0985818;20;15;1.78885;0;1.78885;0.278131
106;75;0.925679;1;0.0743209;20;15;0;1.09545;1.09545;0.298495
107;75;0.921207;1;0.0787931;20;15;0;0.632456;0.632456;0.306861
108;75;0.890602;1;0.109398;20;15;0.632456;1.09545;1.7279;0.324511
109;75;0.923961;1;0.0760392;20;15;0.632456;1.26491;1.89737;0.282041
110;75;0.90722;1;0.0927797;20;15;0;0.632456;0.632456;0.311286
111;75;0.923561;1;0.0764393;20;15;0;0.632456;0.632456;0.307355
112;75;0.931204;1;0.0687962;20;15;0.632456;0.894427;1.52688;0.290604
113;75;0.912767;1;0.0872334;20;15;0.894427;1.89737;2.79179;0.302308
114;75;0.922201;1;0.0777993;20;15;0.632456;0.632456;1.26491;0.294853
115;75;0.935656;1;0.0643439;20;15;0.632456;0.632456;1.26491;0.289111
116;75;0.91188;1;0.0881203;20;15;0.632456;0;0.632456;0.301199
117;75;0.93395;1;0.0660497;20;15;0;0.894427;0.894427;0.292573
118;75;0.907361;1;0.0926387;20;15;0;1.41421;1.41421;0.314547
119;75;0.912613;1;0.0873869;20;15;1.54919;0.632456;2.18165;0.295822
120;75;0.903844;1;0.0961561;20;15;0.894427;0.894427;1.78885;0.298084
121;75;0.940104;1;0.0598962;20;15;0;1.09545;1.09545;0.288849
122;75;0.913348;1;0.0866524;20;15;0;1.26491;1.26491;0.299378
123;75;0.945114;1;0.0548865;20;15;0;1.26491;1.26491;0.325742
124;75;0.913695;1;0.0863055;20;15;1.09545;0.632456;1.7279;0.326566
125;75;0.929484;1;0.0705156;20;15;0.632456;0.632456;1.26491;0.320998
126;75;0.881529;1;0.118471;20;15;1.67332;0.632456;2.30578;0.293472
127;75;0.915054;1;0.0849459;20;15;0.894427;2.96648;3.86091;0.288444
128;75;0.954409;1;0.0455906;20;15;1.26491;0.894427;2.15934;0.29453
129;75;0.927273;1;0.0727266;20;15;1.26491;1.78885;3.05377;0.293312
130;75;0.946119;1;0.0538811;20;15;0.632456;0.894427;1.52688;0.308872
131;75;0.938852;1;0.061148;20;15;0;0.632456;0.632456;0.298116
132;75;0.935606;1;0.0643935;20;15;0;0.894427;0.894427;0.30918
133;75;0.923857;1;0.0761433;20;15;0;0.632456;0.632456;0.306683
134;75;0.927069;1;0.0729307;20;15;0;1.67332;1.67332;0.294722
135;75;0.922042;1;0.0779576;20;15;0;2.19089;2.19089;0.307984
136;75;0.954271;1;0.0457292;20;15;0;0.894427;0.894427;0.283125
137;75;0.927669;1;0.0723313;20;15;0.632456;0;0.632456;0.295847
138;75;0.918566;1;0.0814343;20;15;0;1.67332;1.67332;0.301732
139;75;0.926789;1;0.0732114;20;15;0;1.54919;1.54919;0.293878
140;75;0.93902;1;0.0609796;20;15;0;0.632456;0.632456;0.407948
141;75;0.928377;1;0.0716229;20;15;1.09545;0.632456;1.7279;0.380241
142;75;0.909657;1;0.0903429;20;15;0.632456;1.09545;1.7279;0.374344
143;75;0.928437;1;0.0715626;20;15;0;1.26491;1.26491;0.364251
144;75;0.917076;1;0.082924;20;15;0;0.894427;0.894427;0.325807
145;75;0.94888;1;0.0511199;20;15;0;1.78885;1.78885;0.320298
146;75;0.929087;1;0.070913;20;15;1.54919;2.09762;3.64681;0.293705
147;75;0.939216;1;0.0607838;20;15;0;1.41421;1.41421;0.286132
148;75;0.913637;1;0.0863628;20;15;0;0;0;0.294324
149;75;0.913441;1;0.0865591;20;15;0;0;0;0.290379
150;75;0.92674;1;0.0732596;20;15;0.632456;1.67332;2.30578;0.296517
151;75;0.932775;1;0.0672253;20;15;0.632456;1.09545;1.7279;0.301264
152;75;0.931071;1;0.0689294;20;15;0;1.67332;1.67332;0.312491
153;75;0.954235;1;0.0457646;20;15;1.26491;1.78885;3.05377;0.37658
154;75;0.937795;1;0.0622052;20;15;1.09545;0;1.09545;0.433513
155;75;0.933142;1;0.0668581;20;15;0.632456;2.68328;3.31574;0.404788
156;75;0.908755;1;0.0912448;20;15;0;0.894427;0.894427;0.383521
157;75;0.930807;1;0.0691933;20;15;0.894427;1.09545;1.98987;0.373169
158;75;0.91442;1;0.0855797;20;15;1.09545;0.894427;1.98987;0.340289
159;75;0.949326;1;0.0506742;20;15;0.632456;0.894427;1.52688;0.298177
160;75;0.914194;1;0.0858063;20;15;0;1.09545;1.09545;0.365502
161;75;0.924594;1;0.0754058;20;15;0;2.09762;2.09762;0.344367
162;75;0.932142;1;0.0678581;20;15;1.09545;1.67332;2.76877;0.289988
163;75;0.909385;1;0.0906147;20;15;1.09545;0;1.09545;0.29135
164;75;0.930454;1;0.0695459;20;15;0;0.632456;0.632456;0.29538
165;75;0.920604;1;0.0793956;20;15;0;1.78885;1.78885;0.29554
166;75;0.912998;1;0.0870023;20;15;1.09545;0.894427;1.98987;0.288932
167;75;0.901773;1;0.0982269;20;15;0.632456;0.894427;1.52688;0.28955
168;75;0.927528;1;0.0724716;20;15;0;0.894427;0.894427;0.290881
169;75;0.920467;1;0.0795328;20;15;0;1.09545;1.09545;0.296367
170;75;0.919318;1;0.0806823;20;15;0;1.54919;1.54919;0.31101
171;75;0.932404;1;0.0675961;20;15;0;0.894427;0.894427;0.295117
172;75;0.894156;1;0.105844;20;15;0.632456;1.41421;2.04667;0.295182
173;75;0.938025;1;0.0619746;20;15;1.26491;1.41421;2.67912;0.285894
174;75;0.931429;1;0.0685714;20;15;2.09762;0.632456;2.73007;0.285506
175;75;0.928667;1;0.0713332;20;15;1.09545;0.632456;1.7279;0.297425
176;75;0.940229;1;0.0597714;20;15;0;1.89737;1.89737;0.290064
177;75;0.926213;1;0.0737866;20;15;0;1.78885;1.78885;0.283707
178;75;0.89518;1;0.10482;20;15;0.894427;1.09545;1.98987;0.295192
179;75;0.925793;1;0.0742066;20;15;0.632456;0.632456;1.26491;0.275867
180;75;0.916537;1;0.0834626;20;15;0;0.632456;0.632456;0.279381
181;75;0.90295;1;0.0970504;20;15;0;1.09545;1.09545;0.274359
182;75;0.912294;1;0.0877056;20;15;0;1.09545;1.09545;0.286393
183;75;0.936941;1;0.0630595;20;15;0.632456;0;0.632456;0.285695
184;75;0.904431;1;0.0955689;20;15;0;1.09545;1.09545;0.303366
185;75;0.897727;1;0.102273;20;15;0.632456;1.26491;1.89737;0.2892
186;75;0.945114;1;0.0548859;20;15;0.632456;1.26491;1.89737;0.285381
187;75;0.935308;1;0.0646924;20;15;0;1.41421;1.41421;0.299076
188;75;0.924219;1;0.0757812;20;15;1.78885;0.632456;2.42131;0.301207
189;75;0.92596;1;0.0740401;20;15;1.09545;1.09545;2.19089;0.285539
190;75;0.933185;1;0.0668152;20;15;0;0;0;0.286464
191;75;0.918766;1;0.0812342;20;15;0;1.09545;1.09545;0.292381
192;75;0.929408;1;0.0705919;20;15;0;1.26491;1.26491;0.295248
193;75;0.924773;1;0.0752273;20;15;0;2.19089;2.19089;0.299585
194;75;0.944398;1;0.055602;20;15;1.78885;1.09545;2.8843;0.284274
195;75;0.921298;1;0.0787017;20;15;0;1.26491;1.26491;0.281584
196;75;0.936466;1;0.0635341;20;15;1.09545;1.41421;2.50966;0.285355
197;75;0.937928;1;0.0620722;20;15;1.26491;0;1.26491;0.296456
198;75;0.939125;1;0.0608753;20;15;0;1.78885;1.78885;0.336307
199;75;0.949703;1;0.0502966;20;15;0.632456;0;0.632456;0.326763
200;75;0.906734;1;0.0932662;20;15;0.632456;1.78885;2.42131;0.300446
201;75;0.931594;1;0.0684057;20;15;0.894427;1.78885;2.68328;0.296912
202;75;0.967575;1;0.0324249;20;15;0;1.41421;1.41421;0.28346
203;75;0.921976;1;0.0780243;20;15;0.632456;1.26491;1.89737;0.303439
204;75;0.91734;1;0.0826599;20;15;1.26491;1.67332;2.93823;0.29623
205;75;0.937131;1;0.0628688;20;15;1.26491;0.632456;1.89737;0.284593
206;75;0.941717;1;0.0582828;20;15;0.894427;0.632456;1.52688;0.287981
207;75;0.937704;1;0.0622963;20;15;0;0;0;0.272104
208;75;0.933486;1;0.066514;20;15;0;1.09545;1.09545;0.286124
209;75;0.930855;1;0.0691449;20;15;0.632456;1.09545;1.7279;0.282838
210;75;0.898911;1;0.101089;20;15;0.632456;1.09545;1.7279;0.305079
211;75;0.900864;1;0.0991362;20;15;0;1.89737;1.89737;0.283142
212;75;0.921267;1;0.0787334;20;15;0.632456;2;2.63246;0.288819
213;75;0.955649;1;0.0443507;20;15;0;0.632456;0.632456;0.290644
214;75;0.906092;1;0.0939078;20;15;0.632456;1.41421;2.04667;0.28539
215;75;0.913604;1;0.0863965;20;15;1.09545;0;1.09545;0.288198
216;75;0.940379;1;0.0596214;20;15;0;0.632456;0.632456;0.277942
217;75;0.929531;1;0.0704692;20;15;0;1.41421;1.41421;0.277435
218;75;0.92903;1;0.0709703;20;15;0;1.26491;1.26491;0.276786
219;75;0.935836;1;0.0641643;20;15;0.632456;1.26491;1.89737;0.28428
220;75;0.933659;1;0.0663406;20;15;1.26491;2.09762;3.36253;0.294753
221;75;0.952769;1;0.0472314;20;15;0;0.632456;0.632456;0.328575
222;75;0.95826;1;0.04174;20;15;0.894427;0.894427;1.78885;0.296147
223;75;0.903699;1;0.0963015;20;15;0;0.632456;0.632456;0.295662
224;75;0.942617;1;0.0573835;20;15;0;1.41421;1.41421;0.281558
225;75;0.884618;1;0.115382;20;15;0;0.632456;0.632456;0.283053
